Inicio de datos:
Giroscopo: -5.74, 4.52, -13.73
Acelerometro: 0.20, 1.00, 0.06
Giroscopo: -5.07, 1.10, -5.31
Acelerometro: 0.18, 0.99, 0.05
Giroscopo: -3.23, 1.65, 0.61
Acelerometro: 0.17, 0.99, 0.06
Giroscopo: -2.62, -0.49, -0.06
Acelerometro: 0.18, 0.99, 0.05
Giroscopo: -1.59, 0.49, 2.81
Acelerometro: 0.16, 1.00, 0.06
Giroscopo: -1.59, -0.06, 0.85
Acelerometro: 0.17, 1.00, 0.05
Giroscopo: -1.53, 0.00, 2.14
Acelerometro: 0.16, 1.00, 0.05
Giroscopo: -1.28, 0.55, 3.23
Acelerometro: 0.15, 1.02, 0.06
Giroscopo: -0.55, -0.73, 4.03
Acelerometro: 0.17, 1.06, 0.10
Giroscopo: 0.55, -1.71, 8.24
Acelerometro: 0.15, 1.01, 0.05
Giroscopo: -0.31, -6.41, 5.86
Acelerometro: 0.05, 0.94, 0.05
Giroscopo: -1.59, -4.64, 1.77
Acelerometro: 0.10, 1.00, 0.05
Giroscopo: -0.49, -5.37, 0.37
Acelerometro: 0.06, 0.97, 0.05
Giroscopo: 0.12, -3.11, 0.12
Acelerometro: 0.09, 0.99, 0.09
Giroscopo: 1.40, -4.33, 0.49
Acelerometro: 0.08, 1.00, 0.05
Giroscopo: 0.73, -1.22, -1.59
Acelerometro: 0.09, 1.01, 0.05
Giroscopo: 0.00, -0.79, -3.60
Acelerometro: 0.07, 0.98, 0.06
Giroscopo: -0.43, 2.75, -1.83
Acelerometro: 0.07, 0.98, 0.07
Giroscopo: -1.04, 3.54, -3.66
Acelerometro: 0.07, 0.97, 0.04
Giroscopo: -2.08, 3.60, -7.81
Acelerometro: 0.15, 0.99, 0.06
Giroscopo: -1.16, -2.44, -11.54
Acelerometro: 0.18, 1.01, 0.18
Giroscopo: -2.62, -1.71, -12.94
Acelerometro: 0.21, 1.06, 0.10
Giroscopo: -3.78, -0.61, -12.88
Acelerometro: 0.21, 1.00, 0.07
Giroscopo: -1.40, -0.18, -4.03
Acelerometro: 0.19, 0.99, 0.07
Giroscopo: -1.28, -0.92, -1.46
Acelerometro: 0.19, 0.99, 0.07
Giroscopo: -2.01, -1.83, -1.65
Acelerometro: 0.19, 0.99, 0.07
Giroscopo: -2.20, -0.73, -0.55
Acelerometro: 0.18, 0.99, 0.07
Giroscopo: -2.32, -0.37, -0.73
Acelerometro: 0.18, 0.99, 0.06
